Metric,Frequency (Hz),p_value,Mean_Exp,Mean_Ctrl
CO2_smooth,570.8,0.011228186919955002,3455.3333333333335,1425.607163000564
CO2_smooth,572.6,0.01123722565072009,3497.0,1425.607163000564
CO2_smooth,570.2,0.011246270831531555,3443.3333333333335,1425.607163000564
CO2_smooth,570.4,0.011255322477198924,3446.3333333333335,1425.607163000564
CO2_smooth,568.8,0.011255322488128968,3431.0,1425.607163000564
CO2_smooth,572.8,0.011255322488128968,3500.6666666666665,1425.607163000564
CO2_smooth,574.8,0.011255322488128968,3552.6666666666665,1425.607163000564
CO2_smooth,568.6,0.011264380602559913,3423.6666666666665,1425.607163000564
CO2_smooth,580.2,0.011264380602559913,3737.6666666666665,1425.607163000564
CO2_smooth,581.8,0.011264380602559913,3790.3333333333335,1425.607163000564
CO2_smooth,582.0,0.011264380602559913,3801.6666666666665,1425.607163000564
CO2_smooth,570.0,0.011273445200593878,3439.3333333333335,1425.607163000564
CO2_smooth,573.8,0.011273445200593878,3528.0,1425.607163000564
CO2_smooth,578.8,0.011291593819344447,3686.0,1425.607163000564
